marca;modelo;pais;year_modelo;clase;sub_clase;avaluo;cilindraje;tipo_combustible
MITSUBISHI;OUTLANDER SPORT AC 2.0 4P 4X2 TA;JAPON;2018;JEEP;JEEP;45655.54;2400;GASOLINA
MINI;COOPER S AC 2.0 2P 4X2 TA;PAISES BAJOS (HOLANDA);2018;AUTOMOVIL;COUPE;49990.0;1998;GASOLINA
MAZDA;NUEVO MAZDA3 HATCHBACK AC 2.0 5P 4X2 TA;MEXICO;2017;AUTOMOVIL;STATION WAGON;28792.0;2000;GASOLINA
FORD;ESCAPE AC 2.0 5P 4X2 TA;ALEMANIA;2018;JEEP;JEEP;60311.17;1999;GASOLINA
HONDA;CIVIC SI AC 1.5 2P 4X2 TM;CANADA;2017;AUTOMOVIL;COUPE;36289.0;1500;GASOLINA
NISSAN;X-TRAIL AC 2.5 5P 4X4 TA;CHINA POPULAR;2017;JEEP;JEEP;53583.72;2488;GASOLINA
CHEVROLET;SPARK LIFE AC 1.0 5P 4X2 TM;COLOMBIA;2016;AUTOMOVIL;SEDAN;9474.0;995;GASOLINA
BMW;X5 XDRIVE 35I AC 3.0 5P 4X4 TA;ALEMANIA;2014;JEEP;JEEP;25998.0;3000;GASOLINA
TOYOTA;TACOMA SR5 AC 4.0 CS 4X4 TA;ESTADOS UNIDOS;2007;CAMIONETA;CAJON;2366.34;3950;GASOLINA
FORD;F-250 SUPER DUTY AC 6.2 CS 4X4 TA;ESTADOS UNIDOS;2011;CAMIONETA;CABINA SIMPLE;1733.16;6200;GASOLINA
FORD;KUGA AC 1.5 5P 4X2 TM DIESEL;ALEMANIA;2017;AUTOMOVIL;STATION WAGON;36553.26;1500;DIESEL
NISSAN;VERSA ADVANCE AC 1.6 4P 4X2 TM;MEXICO;2018;AUTOMOVIL;SEDAN;16852.92;1598;GASOLINA
MINI;COOPER 5 TURER AC 1.5 5P 4X2 TA;PAISES BAJOS (HOLANDA);2018;AUTOMOVIL;STATION WAGON;54990.0;1499;GASOLINA
MERCEDES BENZ;ML 350 AC 3.0 5P 4X4 TA;ESTADOS UNIDOS;2015;JEEP;JEEP;19521.02;2987;GASOLINA
CHERY;Q AC 1.0 5P 4X2 TM;CHINA POPULAR;2017;AUTOMOVIL;STATION WAGON;10712.0;998;GASOLINA
JEEP;PATRIOT AC 2.0 4P 4X2 TM;ESTADOS UNIDOS;2015;JEEP;JEEP;9424.05;2000;GASOLINA
KIA;SPORTAGE R GTI AC 2.0 5P 4X2 TM;COREA DEL SUR;2018;JEEP;JEEP;35990.0;2000;GASOLINA
HYUNDAI;GRANDEUR AC 3.0 4P 4X2 TA;COREA DEL SUR;2017;AUTOMOVIL;SEDAN;55992.0;3000;GASOLINA
MAZDA;CX5 AC 2.5 5P 4X4 TA;JAPON;2017;JEEP;JEEP;49659.54;2500;GASOLINA
MERCEDES BENZ;G63 AC 5.5 5P 4X4 TA;ALEMANIA;2014;JEEP;JEEP;13903.21;5500;GASOLINA
JEEP;WRANGLER UNLIMITED AC 3.6 5P 4X4 TA;ESTADOS UNIDOS;2014;JEEP;JEEP;11600.0;3600;GASOLINA
TOYOTA;YARIS AC 1.5 4P 4X2 TM;TAILANDIA;2017;AUTOMOVIL;SEDAN;22115.04;1500;GASOLINA
TOYOTA;TACOMA AC 3.5 CD 4X4 TA;ESTADOS UNIDOS;2018;CAMIONETA;DOBLE CABINA;49915.08;3500;GASOLINA
SKODA;SUPERB NF AMBITION;REPUBLICA CHECA;2012;AUTOMOVIL;SEDAN;5465.5;1800;GASOLINA
MAZDA;MAZDA2 HB 1.5 MT;COLOMBIA;2010;AUTOMOVIL;COUPE;1899.0;1500;GASOLINA
TOYOTA;LAND CRUISER PRADO AC 4.0 5P 4X4 TA;JAPON;2015;JEEP;JEEP;42371.16;4000;GASOLINA
KIA;PICANTO EX AC 1.2 4P 4X2 TM;COREA DEL SUR;2018;AUTOMOVIL;SEDAN;16990.0;1200;GASOLINA
NISSAN;SENTRA 1600-2001;JAPON;2000;AUTOMOVIL;SEDAN;3884.0;1600;GASOLINA
FIAT;500X 140CV TREKKING AC 1.4 5P 4X2 TA;ITALIA;2018;JEEP;JEEP;35990.0;1368;GASOLINA
OPEL;CORSA AC 1.4 5P 4X2 TM;ALEMANIA;2016;AUTOMOVIL;STATION WAGON;23531.45;1398;GASOLINA
MITSUBISHI;L200 SPORTERO GLS AC 2.5 CD 4X4 TA DIESEL;TAILANDIA;2017;CAMIONETA;DOBLE CABINA;39992.0;2477;DIESEL
MAZDA;NUEVO MAZDA6 AC 2.0 4P 4X2 TA;JAPON;2017;AUTOMOVIL;SEDAN;31992.0;2000;GASOLINA
MITSUBISHI;OUTLANDER SPORT SE AC 2.4 5P 4X2 TA;JAPON;2017;JEEP;JEEP;35929.59;2400;GASOLINA
JEEP;GRAND CHEROKEE LIMITED AC 3.6 5P 4X4 TA;ESTADOS UNIDOS;2017;JEEP;JEEP;76552.0;3600;GASOLINA
KIA;CERATO LX ABS AC 1.6 4P 4X2 TM;ECUADOR;2016;AUTOMOVIL;SEDAN;14754.0;1600;GASOLINA
CHEVROLET;COLORADO WT AC 2.5 CD 4X2 TA;ESTADOS UNIDOS;2018;CAMIONETA;DOBLE CABINA;46183.51;2500;GASOLINA
TOYOTA;RAV4 AC 2.0 5P 4X2 TA;JAPON;2017;AUTOMOVIL;STATION WAGON;36375.69;2000;GASOLINA
NISSAN;X-TRAIL M/T;JAPON;2007;JEEP;JEEP;3050.0;2500;GASOLINA
FORD;ECOSPORT FREESTYLE AC 1.5 5P 4X2 TM;BRASIL;2018;JEEP;JEEP;37679.84;1500;GASOLINA
FIAT;QUBO AC 1.4 5P 4X2 TM;ITALIA;2017;CAMIONETA;FURGONETA;19619.9;1400;GASOLINA
TOYOTA;CAMRY AC 2.5 4P 4X2 TA;ESTADOS UNIDOS;2017;AUTOMOVIL;SEDAN;38444.05;2500;GASOLINA
MINI;JOHN COOPER WORKS AC 2.0 3P 4X2 TA;REINO UNIDO;2018;AUTOMOVIL;STATION WAGON;85990.0;1998;GASOLINA
GREAT WALL;WINGLE AC 2.4 CS 4X2 TM;ECUADOR;2018;CAMIONETA;CABINA SIMPLE;22990.0;2378;GASOLINA
TOYOTA;NEW HILUX 2.4 CD 4X4 TM DIESEL;ARGENTINA;2018;CAMIONETA;DOBLE CABINA;47990.0;2400;DIESEL
TOYOTA;YARIS SD CVT AC 1.5 4P 4X2 TA;TAILANDIA;2018;AUTOMOVIL;SEDAN;24990.0;1500;GASOLINA
HYUNDAI;SANTA FE AC 2.4 5P 4X2 TM;COREA DEL SUR;2017;JEEP;JEEP;39313.98;2400;GASOLINA
FORD;EXPLORER AC 3.5 5P 4X4 TA;ESTADOS UNIDOS;2015;JEEP;JEEP;22369.9;3500;GASOLINA
MAZDA;MAZDA 3 AC 2.0 4P 4X2 TM;JAPON;2017;AUTOMOVIL;SEDAN;29061.86;1998;GASOLINA
MITSUBISHI;OUTLANDER ES AC 2.4 5P 4X2 TA;JAPON;2017;JEEP;JEEP;42179.09;2400;GASOLINA
MERCEDES BENZ;E200 AC 2.0 4P 4X2 TM;ALEMANIA;2015;AUTOMOVIL;SEDAN;26923.38;1991;GASOLINA
TOYOTA;4RUNNER L AC 4.0 5P 4X4 TA;JAPON;2017;JEEP;JEEP;94400.0;4000;GASOLINA
MERCEDES BENZ;ML 350 AC 3.5 5P 4X4 TA;ESTADOS UNIDOS;2015;JEEP;JEEP;51200.0;3500;GASOLINA
BMW;X3 XDRIVE 20I AC 2.0 5P 4X2 TA;ALEMANIA;2016;JEEP;JEEP;46856.68;1997;GASOLINA
BMW;S1 118D AC 2.0 5P 4X2 TM DIESEL;ALEMANIA;2010;AUTOMOVIL;COUPE;3957.75;1995;DIESEL
MITSUBISHI;OUTLANDER SPORT AC 2.0 5P 4X2 TM;JAPON;2016;JEEP;JEEP;24819.96;2000;GASOLINA
PEUGEOT;208 ACTIVE AC 1.6 5P 4X2 TA;ESLOVAQUIA;2017;AUTOMOVIL;STATION WAGON;21592.0;1598;GASOLINA
MITSUBISHI;ASX AC 1.6 5P 4X2 TM;JAPON;2018;JEEP;JEEP;37602.01;1590;GASOLINA
VOLVO;XC60 T5 AC 2.0 5P 4X4 TA;SUECIA;2018;JEEP;JEEP;79274.94;1969;GASOLINA
TOYOTA;FJ CRUISER AC 4.0 5P 4X4 TA;JAPON;2017;JEEP;JEEP;40589.06;4000;GASOLINA
CHEVROLET;D-MAX CRDI AC 3.0 CS 4X4 TM DIESEL;ECUADOR;2016;CAMIONETA;CABINA SIMPLE;22104.0;2999;DIESEL
BMW;235 AC 3.0 2P 4X2 TA;ALEMANIA;2014;AUTOMOVIL;COUPE;9518.14;3000;GASOLINA
CITROEN;JUMPY IV AC 2.0 6P 4X2 TM DIESEL;FRANCIA;2018;CAMIONETA;FURGONETA;39990.0;1997;DIESEL
SKODA;RAPID SPORT GT AC 1.6 4P 4X2 TM;REPUBLICA CHECA;2018;AUTOMOVIL;SEDAN;23990.0;1600;GASOLINA
MITSUBISHI;OUTLANDER AC 2.4 4P 4X2 TA;JAPON;2017;JEEP;JEEP;40289.32;2400;GASOLINA
AUDI;A4 AC 1.8 4P 4X2 TA;ALEMANIA;2014;AUTOMOVIL;SEDAN;8328.83;1800;GASOLINA
